Common Name,Scientific Name,Family,Grows in CA,Wild in CA,Cultivated in CA,Cultural Significance,Standout Visual Identifier,Kid-Friendly ID Tip,Distinguishing Features,Similar Species*,Differences from Look-Alikes*,Seasonal Timeline*,Seasonal Changes,Leaf Type*,Leaf Complexity*,Leaf Arrangement*,Leaf Shape*,Leaf Length*,Leaf Characteristics*,Autumn Leaf Color*,Needle Arrangement,Needle Length,Needle Characteristics,Flower Description*,Fruit or Cone Description*,Cone Size & Shape,Cone Position*,Seed Dispersal Mechanism*,Smell*,Bark (Young Tree),Bark (Mature Tree),Winter ID Features*,Tree Shape (Young),Tree Shape (Mature),Branch Pattern,Height Range,Growth Rate,Habitat,Region,Elevation Range,Climate Preferences,Toxicity
Western Juniper,Juniperus occidentalis,Cypress,Yes,Yes,Unlikely,Used by indigenous peoples for medicine; berries flavor foods,"Gnarled trunk, scale leaves, bluish “berries” (fleshy cones)","Look for little blue berries that smell like gin, and a twisted trunk","Thick, fibrous bark; strong juniper aroma; scale foliage can appear gray-green","Other junipers (e.g., Sierra Juniper), but Western Juniper can be larger","Mexican Fan Palm has a thinner trunk and often grows taller. California Fan Palm is stockier, with a prominent “skirt” of dead fronds.",Berries (cones) can take up to two years to ripen,"Evergreen, minimal color shift","Evergreen, scale-like",N/A,Opposite scales; juvenile foliage may be awl-shaped,Overlapping scales on mature foliage,~1–2 mm,"Gray-green to bluish, aromatic",Evergreen,Scale-like foliage,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Male cones produce pollen; female cones become berry-like,"Bluish, fleshy cones ~1/4 inch diameter (look like berries)","Small, spherical, fleshy",On branchlets,Birds eat the berries,Strong gin/juniper aroma when crushed,"Reddish-brown, somewhat fibrous","Grayish or reddish-brown, deeply furrowed, stringy","Evergreen scale foliage, bluish berries persist","Erect, conical or shrubby","Often twisted trunk, irregular crown","Spreading, gnarled",10–50 feet,Slow,"Rocky slopes, high desert, subalpine forests","Eastern Sierra, high-elevation or arid regions","~2,000–10,000 feet","Cold winters, dry summers, poor soils",Not typically toxic; fibers from old fronds can irritate skin.
Western Larch,Larix occidentalis,Pine,Yes (far northern/northeastern corners),No,Unlikely,Valued for timber; unique among conifers in being deciduous.,"Needles turn golden yellow in fall and drop, leaving bare branches.",A conifer that turns bright yellow in autumn and loses its needles!,Clusters of soft needles on short spur shoots; small woody cones with bracts that may curve outward.,"Subalpine Larch (Larix lyallii), but that’s higher elevation, more northern.","Western Redcedar has tiny “rosebud” cones, while Incense-cedar cones look like a duck’s bill when open.","Needles emerge in spring, turn yellow in fall, drop; cones form in summer.","Deciduous conifer, bright golden needles in autumn.",Deciduous needles.,N/A,Clusters (10–30 needles) on spur shoots.,"Soft, thin needles, ~1–2 inches long.",1–2 inches.,"Bright green in summer, turning golden yellow in fall.","Golden yellow, then they drop.","Clusters on spur shoots, singly on new shoots.",1–2 inches.,"Soft, flexible.","Male cones small, yellow; female cones purplish.","Small woody cones (~1 inch), upright or slightly pendant.","~1 inch, oval, with short bracts.",Scattered on branches.,Wind.,"Resinous, mild pine scent.","Grayish-brown, somewhat scaly.","Deeply furrowed, thick plates.","Bare branches, spur shoots visible where needles were, small cones.","Pyramidal, open branching.","Tall, narrow crown, branches may become more sparse.",Horizontal or slightly drooping.,70–180 feet (in ideal conditions).,Moderate.,"Cool mountain slopes, mixed conifer forests.","Far north/northeast CA, also PNW & Rocky Mtns.","~2,000–7,000 feet.","Cold winters, moderate precipitation, well-drained soils.",Mildly toxic if eaten in large amounts; can upset stomach. Foliage can irritate skin if handled excessively.
Western Redcedar,Thuja plicata,Pine,Yes,Yes,Likely,"Important to Native American cultures for canoes, totem poles, clothing. Major timber species in PNW.","Scale-like foliage in flat sprays, drooping leader, fibrous red-brown bark.",Smush the leaves and smell that fresh cedar odor—like a wooden cedar chest or pencil!,"Flattened branchlets with scale leaves, small woody cones (1/2 inch), fibrous bark in vertical strips.","Incense-cedar (Calocedrus decurrens), but western redcedar has smaller cones with a rosebud shape.",Has bluer needles than the coastal Douglas-fir. Otherwise shares the classic “mouse-tail” cone bracts.,"Evergreen; pollination in spring; cones mature by late summer/fall, can persist on branches.","Minimal, older scales may brown and drop.",Evergreen scale foliage,N/A,Opposite scales in flattened sprays,"Scale-like, about 1/8 inch long",~1/8 inch scales,"Shiny, dark green above, whitish markings below forming butterfly pattern",Evergreen,Scale-like branches,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant","Small male pollen cones, female cones small and green","Tiny woody cones, ~1/2 inch, shaped like little rose buds","1/2 inch, ovoid with overlapping scales",Along branchlets,Wind,Distinct cedar aroma when foliage or bark is crushed,"Reddish-brown, fibrous, can be peeled in strips","Thick, deeply fissured, fibrous strips","Evergreen, flattened sprays, small cones may be present","Pyramidal, drooping branch tips","Large, conical, drooping leader and branch tips","Layered, flattened sprays, drooping ends",50–200+ feet,Fast in moist environments,"Moist forest, stream edges, coastal fog areas","NW California, along coast and in wet mountain areas","Sea level to ~4,000 feet","Cool, moist, high rainfall or humidity, mild temperatures",Same low toxicity as Common Douglas-fir; no special hazards noted.
Western Redcedar,Thuja plicata,Cupressaceae,Yes,Yes,Yes,Iconic tree of the Pacific Northwest; used by Indigenous peoples for canoes and clothing.,"Flat sprays of aromatic, scale-like leaves and reddish stringy bark.",Its leaves smell like the forest and its bark looks like spaghetti!,"Drooping branch tips, fibrous bark, tiny woody cones.",Incense Cedar (*Calocedrus decurrens*),Flattened sprays and stringy bark,Pollen in spring; cones mature fall,New growth in spring; cones mature in fall.,Evergreen,Scale-like,Opposite,Scale-like,< 0.25 inch,"Shiny, flattened green sprays",No change,Scale-like in flat sprays,< 0.25 inch,"Glossy green, aromatic",Tiny yellow pollen cones,Small woody cones,"0.5 inch, egg-shaped",Branch tips,Wind,"Aromatic, cedar-like",Reddish and fibrous,"Thick, reddish, stringy",Flattened sprays and fibrous bark,Narrow pyramid,"Tall, tapering crown",Drooping and layered,100–200 feet,Slow to moderate,Moist coastal forests,Pacific Northwest and Northern California,"Sea level to 5,000 feet","Cool, wet, foggy",Mildly toxic if ingested
Western Serviceberry,Amelanchier alnifolia,Rose,Yes,Yes,Unlikely,"Edible berries historically important to indigenous peoples for food (pies, pemmican).","White spring blossoms in clusters, small purple-black pomes (berries) in summer.",Find the little tree with white flowers in spring and tasty berry clusters in summer!,"Smooth gray bark, oval leaves often with serrated top half, showy 5-petaled white flowers.","Other Amelanchier species (Saskatoon, etc.), but A. alnifolia is the common western form.","Engelmann Spruce is an inland species with smaller cones. Sitka Spruce grows along the coast with bigger, papery cones.",Flowers in spring; berries ripen early to mid-summer; leaves may turn yellow-red in autumn.,Deciduous; leaves can have nice fall color.,Deciduous broadleaf,Simple,Alternate,Oval to roundish with serrated tip,1–2 inches,"Dull green above, paler underside, top half often serrated",Yellow to orangish-red,N/A,N/A,N/A,"Clusters of white 5-petaled flowers (racemes), typically in early spring.","Edible purple-black berries (pomes), ~1/4–1/2 inch diameter",N/A,N/A,Birds and mammals eat berries,Flowers faintly sweet,"Smooth, grayish-brown, thin","May become slightly fissured, still relatively smooth","Bare twigs with small buds, gray bark, leftover berry stems possible","Shrub-like, multi-stemmed","Small tree or large shrub, upright branching",Ascending branches forming a rounded crown,6–20 feet,Moderate,"Moist, well-drained soils near streams, open woods",Northern & eastern California mountains,"~2,000–8,000 feet (varies)","Cool winters, mild summers, some moisture","Non-toxic, but the stiff, sharp needles can poke fingers."
Western Soapberry,Sapindus drummondii,Soapberry,Yes,Yes,Unlikely,"Berries contain saponin, historically used as soap by indigenous peoples; ornamental with yellow fall color.",Pinnately compound leaves turning bright yellow in fall; translucent yellowish fruit clusters.,"Look for clusters of round, soapy-looking berries that can make bubbles in water!","Long pinnate leaves (up to 18 inches), small white flowers, fruit are leathery yellowish drupes.",Wingleaf Soapberry (Sapindus saponaria var. drummondii) considered same or close relative.,"Northern CA Walnut typically has a bigger trunk and larger nuts. Southern CA Walnut is more shrub-like, often multi-stemmed.","Flowers in late spring/early summer; fruits mature in fall, leaves drop in winter.",Deciduous; bright yellow fall foliage.,Deciduous broadleaf,Pinnately compound,Alternate,"Narrow leaflets, 2–4 inches each",Compounded leaf can reach 6–18 inches,"Glossy leaflets, entire margins or slightly wavy, bright green",Yellow,N/A,N/A,N/A,"Small, white, in terminal panicles","Round, translucent yellow berries ~1/2 inch, in clusters",N/A,N/A,"Birds, gravity, water","Flowers mildly fragrant, leaves can have slight soapy scent when crushed","Smooth, grayish or light brown","Gray-brown, developing shallow fissures","Bare branches, leftover fruit clusters sometimes persist","Upright, narrow crown","Rounded crown, single trunk","Ascending branches, moderate spread",10–30 feet,Moderate,"Stream banks, canyons, well-drained soils","Eastern & southern edges of CA, more common in southwestern US","Below ~4,000 feet","Warm summers, moderate moisture; drought-tolerant once established","Like other walnuts, contains juglone. Husk can stain and irritate skin. Nuts are edible after processing."
Western White Pine,Pinus monticola,Pine,Yes,Yes,Likely,Important timber species; grows in subalpine to mid-elevations. Sometimes overshadowed by Sugar Pine in CA.,"5-needle bundles, slender cones (5–10 inches), bluish-green needles, often found in higher elevations.","A tall pine with slender cones and 5 needles, found in the mountains!","Compared to Sugar Pine, has shorter cones (5–10 inches vs. up to 20). Needles have a slight bluish cast.","Sugar Pine (longer cones), Whitebark Pine (Pinus albicaulis) at higher elevations.","Manzanita shrubs also have red bark, but they’re much smaller with smaller, tougher leaves and different berry clusters.",Evergreen; pollination in late spring; cones mature after 2 years.,"Needles remain year-round, older needles drop in fall.",Evergreen needles,N/A,Fascicles of 5,"~2–3 inches, slender",2–3 inches,"Bluish-green, slightly serrated edges",Evergreen,Bundles of 5,2–3 inches,"Soft, flexible, bluish tint","Small male pollen cones, female cones elongated, greenish","5–10 inches, cylindrical, slightly curved, thinner scales than sugar pine","5–10 inches, slender, cylindrical",Pendulous from branch tips,Wind (seeds with wings),Light resin smell,"Smooth, grayish-green with resin pockets","Gray-brown, scaly plates or small rectangular blocks","Evergreen 5-needle clusters, slender cones (if present)","Pyramidal, symmetrical","Tall, conical crown","Regular whorls, branches slight droop at ends",60–150 feet,Moderate,Montane to subalpine forests,"Northern Sierra, Cascade ranges","~4,000–8,000 feet","Cool, moist summers, snowy winters",Mostly safe in small amounts. Unripe berries or bark can upset stomach. Leaves and bark are astringent.
White Alder,Alnus rhombifolia,Betulaceae,Yes,Yes,Yes,Fast-growing native of riparian areas; fixes nitrogen and stabilizes banks.,White bark and dangling catkins.,Its flowers hang like fuzzy earrings!,"Light bark, serrated leaves, persistent cones.",Red Alder (*Alnus rubra*),More triangular leaves and smoother bark,Catkins in spring; seeds ripen by summer,Yellow fall foliage; catkins in winter to early spring.,Deciduous,Simple,Alternate,Oval with serrated edge,2–4 inches,"Glossy green, lighter beneath",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender catkins,Small winged nutlets,"0.5 inch, woody cones",At twig tips,Wind,Faintly earthy,"Smooth, pale gray-white","Scaly, whitish-gray",Smooth gray bark and persistent catkins,Upright,"Rounded crown, often multi-stemmed",Alternate,40–80 feet,Fast,Streamsides and riverbanks,"Western U.S., especially CA","Sea level to 6,000 feet","Moist soils, sunny locations",Non-toxic
White Poplar,Populus alba,Salicaceae,Yes,Yes,Yes,Fast-growing ornamental poplar; invasive in some areas.,White-backed leaves and white bark with diamond marks.,Its leaves are green on top and snowy underneath!,"Deeply lobed leaves, white undersides, spreading roots.",Lombardy Poplar (*Populus nigra 'Italica'*),White undersides and suckering habit,Catkins in spring; cottony seeds by early summer,Yellow fall color; catkins in early spring.,Deciduous,Simple,Alternate,"Lobed or toothed, irregular",2–4 inches,"Dark green above, white felt below",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Drooping catkins,Cottony seed tufts,Catkins with tiny seeds,Hanging,Wind,Neutral,Smooth white with lenticels,Rough and dark at base,White bark with dark furrows,Upright and open,"Broad crown, suckering",Alternate,40–80 feet,Fast,"Disturbed soils, streambanks",Europe and Asia; naturalized in U.S.,Low elevations,"Sunny, drought-tolerant",Non-toxic
White Spruce,Picea glauca,Pinaceae,No,No,Yes,Cold-hardy conifer planted ornamentally and for timber.,Blue-green needles with skunky smell when crushed.,Smells stinky but looks pretty!,"Sharp needles, smooth twigs, light-colored bark.",Black Spruce (*Picea mariana*),Lighter foliage and longer cones,Pollen in spring; cones mature in fall,New growth in spring; cones ripen by fall.,Evergreen,Simple,Spiral,Needle-like,0.5–1 inch,"Blue-green, stiff, sharp",None,Spiraled around twig,0.5–0.75 inch,"Blue-green, sharp, square in cross-section",Tiny reddish cones,Cylindrical cones 1–2 inches,"1–2.5 inches, cylindrical",Hanging from branches,Wind,Resinous,Smooth and gray,"Flaky, gray-brown",Stiff needles and persistent cones,Pyramidal,Conical with narrow crown,"Whorled, horizontal",40–100 feet,Moderate,Boreal forests,Northern U.S. and Canada,Low to mid elevations,Cold-tolerant,Non-toxic
Winged Elm,Ulmus alata,Ulmaceae,No,No,Rarely,"Small elm known for corky, wing-like ridges on twigs.",Corky ridges running along young twigs.,Its branches look like they're growing little airplane wings!,"Asymmetrical leaves, winged twigs, small size.",Slippery Elm (*Ulmus rubra*),Distinctive corky wings on twigs,Flowers in spring; seeds by late spring,Yellow fall color; flowers in late winter.,Deciduous,Simple,Alternate,Oval with toothed edge,2–5 inches,"Rough above, small serrations",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Inconspicuous reddish flowers,Flat samaras with rounded notch,Small samaras ~0.5 inch,In clusters,Wind,Neutral,Smooth gray,Furrowed and gray-brown,Corky wings on twigs,Upright and narrow,"Rounded, irregular crown",Alternate,30–60 feet,Moderate,Dry uplands and bottomlands,Southeastern U.S.,Low elevations,"Warm, seasonal",Non-toxic
